DATE_TIME,LONGITUDE,LATITUDE,GEOHASH,MINIMUM_SPEED,MAXIMUM_SPEED,AVERAGE_SPEED,NUMBER_OF_VEHICLES,location,new_column,Norm_MinSpeed,Norm_MaxSpeed,Norm_NumVehicles,TrafficScore,TrafficCondition
03/10/2020,28.6907958984375,41.0586547851562,sxk3sf,9,127,54,313,TDS LANDFILL,,0.05434782608695652,0.43452380952380953,0.407557354925776,0.3701709331858074,Low
03/17/2020,29.0423583984375,41.1135864257812,sxk9uu,6,84,41,73,BALCONES RECYCLING,,0.021739130434782608,0.17857142857142858,0.08367071524966262,0.3628341338295572,Low
03/21/2020,27.9766845703125,40.9872436523438,sx7cht,7,88,35,34,ELMONT,,0.03260869565217391,0.20238095238095238,0.0310391363022942,0.33555397691553296,Low
03/11/2020,28.6907958984375,41.0586547851562,sxk3sf,13,139,70,323,TDS LANDFILL,,0.09782608695652174,0.5059523809523809,0.42105263157894735,0.3353996404053612,Low
03/20/2020,28.6907958984375,41.0586547851562,sxk3sf,6,152,79,350,TDS LANDFILL,,0.021739130434782608,0.5833333333333334,0.4574898785425101,0.35355131138884,Low
03/07/2020,29.2071533203125,41.0421752929688,sxkc2x,72,154,112,37,HORNSBY BEND,,0.7391304347826086,0.5952380952380952,0.03508771929824561,-0.06369728669499834,Low
03/26/2020,27.9766845703125,40.9872436523438,sx7cht,10,116,44,27,ELMONT,,0.06521739130434782,0.36904761904761907,0.021592442645074223,0.2696764905574975,Low
03/04/2020,28.6907958984375,41.0586547851562,sxk3sf,6,121,43,573,TDS LANDFILL,,0.021739130434782608,0.39880952380952384,0.7584345479082322,0.4991918550556995,Medium
03/21/2020,29.0423583984375,41.1135864257812,sxk9uu,11,109,45,20,BALCONES RECYCLING,,0.07608695652173914,0.3273809523809524,0.012145748987854251,0.27499465637337495,Low
03/01/2020,29.2071533203125,41.0421752929688,sxkc2x,60,109,99,24,HORNSBY BEND,,0.6086956521739131,0.3273809523809524,0.017543859649122806,0.06357061131088589,Low
03/27/2020,29.0423583984375,41.1135864257812,sxk9uu,7,79,40,13,BALCONES RECYCLING,,0.03260869565217391,0.1488095238095238,0.002699055330634278,0.34312338119546354,Low
03/05/2020,29.0423583984375,41.1135864257812,sxk9uu,6,87,41,84,BALCONES RECYCLING,,0.021739130434782608,0.19642857142857142,0.09851551956815115,0.3619304322679609,Low
03/08/2020,27.9766845703125,40.9872436523438,sx7cht,6,91,38,13,ELMONT,,0.021739130434782608,0.22023809523809523,0.002699055330634278,0.3260426358538487,Low
03/25/2020,28.6907958984375,41.0586547851562,sxk3sf,10,142,76,530,TDS LANDFILL,,0.06521739130434782,0.5238095238095238,0.7004048582995951,0.42689164382528233,Medium
03/27/2020,28.6907958984375,41.0586547851562,sxk3sf,19,140,73,53,TDS LANDFILL,,0.16304347826086957,0.5119047619047619,0.05668016194331984,0.19821522870721955,Low
03/04/2020,28.6907958984375,41.0586547851562,sxk3sf,6,121,46,567,TDS LANDFILL,,0.021739130434782608,0.39880952380952384,0.7503373819163293,0.4967627052581286,Medium
03/18/2020,29.0423583984375,41.1135864257812,sxk9uu,8,83,44,30,BALCONES RECYCLING,,0.043478260869565216,0.17261904761904762,0.02564102564102564,0.3385152890587673,Low
03/07/2020,28.6907958984375,41.0586547851562,sxk3sf,23,142,75,268,TDS LANDFILL,,0.20652173913043478,0.5238095238095238,0.3468286099865047,0.2642970302009204,Low
03/08/2020,28.4600830078125,41.1630249023438,sxk4pt,7,141,51,61,BURGER CENTER,,0.03260869565217391,0.5178571428571429,0.06747638326585695,0.25184229386174467,Low
03/22/2020,28.6907958984375,41.0586547851562,sxk3sf,62,138,91,11,TDS LANDFILL,,0.6304347826086957,0.5,0.0,-0.0021739130434782483,Low
03/05/2020,28.6907958984375,41.0586547851562,sxk3sf,6,122,43,442,TDS LANDFILL,,0.021739130434782608,0.40476190476190477,0.581646423751687,0.44436970352302163,Medium
03/06/2020,29.2071533203125,41.0421752929688,sxkc2x,65,147,102,36,HORNSBY BEND,,0.6630434782608695,0.5535714285714286,0.033738191632928474,-0.02116736238589781,Low
03/10/2020,29.0423583984375,41.1135864257812,sxk9uu,10,91,42,27,BALCONES RECYCLING,,0.06521739130434782,0.22023809523809523,0.021592442645074223,0.31431934770035463,Low
03/01/2020,28.4600830078125,41.1630249023438,sxk4pt,24,148,64,42,BURGER CENTER,,0.21739130434782608,0.5595238095238095,0.04183535762483131,0.15773694269117614,Low
03/15/2020,28.4600830078125,41.1630249023438,sxk4pt,10,103,76,16,BURGER CENTER,,0.06521739130434782,0.2916666666666667,0.006747638326585695,0.28843733497623664,Low
03/23/2020,29.0423583984375,41.1135864257812,sxk9uu,8,68,42,28,BALCONES RECYCLING,,0.043478260869565216,0.08333333333333333,0.022941970310391364,0.3644912867452913,Low
03/24/2020,28.6907958984375,41.0586547851562,sxk3sf,13,130,74,567,TDS LANDFILL,,0.09782608695652174,0.4523809523809524,0.7503373819163293,0.4502564940780044,Medium
03/23/2020,28.4600830078125,41.1630249023438,sxk4pt,17,110,63,17,BURGER CENTER,,0.14130434782608695,0.3333333333333333,0.008097165991902834,0.24590741066713612,Low
03/18/2020,27.9766845703125,40.9872436523438,sx7cht,9,113,44,11,ELMONT,,0.05434782608695652,0.35119047619047616,0.0,0.2729037267080746,Low
03/01/2020,29.0423583984375,41.1135864257812,sxk9uu,6,79,44,49,BALCONES RECYCLING,,0.021739130434782608,0.1488095238095238,0.05128205128205128,0.3620461060678452,Low
03/10/2020,28.4600830078125,41.1630249023438,sxk4pt,30,96,53,18,BURGER CENTER,,0.2826086956521739,0.25,0.009446693657219974,0.21479052983629648,Low
03/28/2020,27.9766845703125,40.9872436523438,sx7cht,8,89,48,19,ELMONT,,0.043478260869565216,0.20833333333333334,0.010796221322537112,0.32334756204893506,Low
03/17/2020,28.4600830078125,41.1630249023438,sxk4pt,26,106,58,33,BURGER CENTER,,0.2391304347826087,0.30952380952380953,0.029689608636977057,0.2203975658209068,Low
03/23/2020,29.2071533203125,41.0421752929688,sxkc2x,60,134,99,22,HORNSBY BEND,,0.6086956521739131,0.47619047619047616,0.014844804318488529,0.01811803756883848,Low
03/01/2020,29.2071533203125,41.0421752929688,sxkc2x,84,115,99,19,HORNSBY BEND,,0.8695652173913043,0.3630952380952381,0.010796221322537112,-0.053515791988332014,Low
03/25/2020,29.2071533203125,41.0421752929688,sxkc2x,49,148,79,12,HORNSBY BEND,,0.4891304347826087,0.5595238095238095,0.001349527665317139,0.036895541529408854,Low
03/13/2020,28.4600830078125,41.1630249023438,sxk4pt,36,140,64,31,BURGER CENTER,,0.34782608695652173,0.5119047619047619,0.02699055330634278,0.1153953026378656,Low
03/07/2020,27.9766845703125,40.9872436523438,sx7cht,7,78,37,29,ELMONT,,0.03260869565217391,0.14285714285714285,0.024291497975708502,0.3513868282747001,Low
03/25/2020,27.9766845703125,40.9872436523438,sx7cht,11,83,40,23,ELMONT,,0.07608695652173914,0.17261904761904762,0.016194331983805668,0.32263780270073183,Low
03/21/2020,29.2071533203125,41.0421752929688,sxkc2x,59,212,101,18,HORNSBY BEND,,0.5978260869565217,0.9404761904761905,0.009446693657219974,-0.11843928382829982,Low
03/05/2020,28.4600830078125,41.1630249023438,sxk4pt,34,111,55,27,BURGER CENTER,,0.32608695652173914,0.3392857142857143,0.021592442645074223,0.17425723589911232,Low
03/21/2020,27.9766845703125,40.9872436523438,sx7cht,6,91,30,34,ELMONT,,0.021739130434782608,0.22023809523809523,0.0310391363022942,0.3345446601453467,Low
03/20/2020,29.0423583984375,41.1135864257812,sxk9uu,6,72,42,25,BALCONES RECYCLING,,0.021739130434782608,0.10714285714285714,0.018893387314439947,0.3648295068775618,Low
03/15/2020,29.0423583984375,41.1135864257812,sxk9uu,6,74,38,45,BALCONES RECYCLING,,0.021739130434782608,0.11904761904761904,0.04588394062078273,0.36935524429803607,Low
03/24/2020,28.6907958984375,41.0586547851562,sxk3sf,6,145,79,140,TDS LANDFILL,,0.021739130434782608,0.5416666666666666,0.17408906882591094,0.2810310684738603,Low
03/02/2020,28.4600830078125,41.1630249023438,sxk4pt,27,84,43,15,BURGER CENTER,,0.25,0.17857142857142858,0.005398110661268556,0.24804800462695206,Low
03/05/2020,27.9766845703125,40.9872436523438,sx7cht,7,78,36,19,ELMONT,,0.03260869565217391,0.14285714285714285,0.010796221322537112,0.3473382452787487,Low
03/19/2020,28.4600830078125,41.1630249023438,sxk4pt,35,117,71,17,BURGER CENTER,,0.33695652173913043,0.375,0.008097165991902834,0.15514654110191872,Low
03/31/2020,27.9766845703125,40.9872436523438,sx7cht,13,110,49,23,ELMONT,,0.09782608695652174,0.3333333333333333,0.016194331983805668,0.2657278648125331,Low
03/26/2020,29.0423583984375,41.1135864257812,sxk9uu,11,96,40,24,BALCONES RECYCLING,,0.07608695652173914,0.25,0.017543859649122806,0.2998283752860412,Low
03/29/2020,28.6907958984375,41.0586547851562,sxk3sf,13,132,76,106,TDS LANDFILL,,0.09782608695652174,0.4642857142857143,0.1282051282051282,0.2600453893932155,Low
03/29/2020,28.6907958984375,41.0586547851562,sxk3sf,18,139,68,28,TDS LANDFILL,,0.15217391304347827,0.5059523809523809,0.022941970310391364,0.19422731159001186,Low
03/08/2020,29.0423583984375,41.1135864257812,sxk9uu,6,74,37,71,BALCONES RECYCLING,,0.021739130434782608,0.11904761904761904,0.08097165991902834,0.3798815600875098,Low
03/04/2020,28.4600830078125,41.1630249023438,sxk4pt,28,137,47,39,BURGER CENTER,,0.2608695652173913,0.49404761904761907,0.037786774628879895,0.15877392058742176,Low
03/16/2020,29.0423583984375,41.1135864257812,sxk9uu,6,80,39,24,BALCONES RECYCLING,,0.021739130434782608,0.15476190476190477,0.017543859649122806,0.3501389342922524,Low
03/31/2020,28.4600830078125,41.1630249023438,sxk4pt,36,122,66,21,BURGER CENTER,,0.34782608695652173,0.40476190476190477,0.01349527665317139,0.14348957678477126,Low
03/23/2020,29.0423583984375,41.1135864257812,sxk9uu,6,72,37,53,BALCONES RECYCLING,,0.021739130434782608,0.10714285714285714,0.05668016194331984,0.37616553926622576,Low
03/02/2020,29.2071533203125,41.0421752929688,sxkc2x,49,109,90,12,HORNSBY BEND,,0.4891304347826087,0.3273809523809524,0.001349527665317139,0.10653839867226599,Low
03/21/2020,29.2071533203125,41.0421752929688,sxkc2x,68,111,91,11,HORNSBY BEND,,0.6956521739130435,0.3392857142857143,0.0,0.019953416149068343,Low
03/26/2020,28.4600830078125,41.1630249023438,sxk4pt,20,85,52,16,BURGER CENTER,,0.17391304347826086,0.18452380952380953,0.006747638326585695,0.27710193124952853,Low
03/18/2020,29.2071533203125,41.0421752929688,sxkc2x,57,109,91,15,HORNSBY BEND,,0.5760869565217391,0.3273809523809524,0.005398110661268556,0.07297036487539922,Low
03/16/2020,28.6907958984375,41.0586547851562,sxk3sf,6,124,46,656,TDS LANDFILL,,0.021739130434782608,0.4166666666666667,0.8704453441295547,0.5274379510649534,Medium
03/15/2020,27.9766845703125,40.9872436523438,sx7cht,6,86,38,26,ELMONT,,0.021739130434782608,0.19047619047619047,0.020242914979757085,0.340234365177157,Low
03/07/2020,28.6907958984375,41.0586547851562,sxk3sf,33,144,79,105,TDS LANDFILL,,0.31521739130434784,0.5357142857142857,0.12685560053981107,0.15125543792591845,Low
03/30/2020,27.9766845703125,40.9872436523438,sx7cht,7,73,31,12,ELMONT,,0.03260869565217391,0.1130952380952381,0.001349527665317139,0.35343280861015414,Low
03/17/2020,29.2071533203125,41.0421752929688,sxkc2x,46,110,90,25,HORNSBY BEND,,0.45652173913043476,0.3333333333333333,0.018893387314439947,0.12305932054215808,Low
03/04/2020,29.2071533203125,41.0421752929688,sxkc2x,74,169,111,39,HORNSBY BEND,,0.7608695652173914,0.6845238095238095,0.037786774628879895,-0.09836893655543541,Low
03/06/2020,27.9766845703125,40.9872436523438,sx7cht,15,107,56,15,ELMONT,,0.11956521739130435,0.31547619047619047,0.005398110661268556,0.25915048909900174,Low
03/15/2020,29.0423583984375,41.1135864257812,sxk9uu,14,86,45,18,BALCONES RECYCLING,,0.10869565217391304,0.19047619047619047,0.009446693657219974,0.3022128900847436,Low
03/30/2020,28.6907958984375,41.0586547851562,sxk3sf,11,145,78,435,TDS LANDFILL,,0.07608695652173914,0.5416666666666666,0.5721997300944669,0.37872513641964445,Low
03/17/2020,28.6907958984375,41.0586547851562,sxk3sf,26,141,77,100,TDS LANDFILL,,0.2391304347826087,0.5178571428571429,0.12010796221322537,0.1850230718937813,Low
03/27/2020,27.9766845703125,40.9872436523438,sx7cht,7,94,44,15,ELMONT,,0.03260869565217391,0.23809523809523808,0.005398110661268556,0.31714738350893956,Low
03/13/2020,28.6907958984375,41.0586547851562,sxk3sf,20,151,69,368,TDS LANDFILL,,0.17391304347826086,0.5773809523809523,0.4817813765182186,0.30175490984987563,Low
03/30/2020,28.4600830078125,41.1630249023438,sxk4pt,21,123,77,25,BURGER CENTER,,0.18478260869565216,0.4107142857142857,0.018893387314439947,0.20854068700178546,Low
03/09/2020,27.9766845703125,40.9872436523438,sx7cht,7,79,38,22,ELMONT,,0.03260869565217391,0.1488095238095238,0.014844804318488529,0.3467671058918198,Low
03/21/2020,29.0423583984375,41.1135864257812,sxk9uu,6,77,41,37,BALCONES RECYCLING,,0.021739130434782608,0.13690476190476192,0.03508771929824561,0.36075923504413204,Low
