name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"3200 Jones Rd, Austin, TX 78745",2020-02-21,54.2,35.8,44.7,54.2,29.2,41.2,31.5,60.7,0,0,0,,0,0,23,11.8,18.4,1036.8,16.8,9.9,202.6,17.4,7,,2020-02-21T07:06:03,2020-02-21T18:24:07,0.93,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,AURT2,E0214,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-02-22,63.5,42.3,52.6,63.5,42.3,52.5,37.2,57.5,0,0,0,,0,0,23,12.7,166,1027.5,50.6,9.9,182,15.6,7,,2020-02-22T07:05:04,2020-02-22T18:24:52,0.97,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,AURT2,E0214,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-02-23,69.2,53.8,61.2,69.2,53.8,61.2,53,74.7,0,0,0,,0,0,27.7,13.4,165.3,1016.5,95,9.9,44.5,4,2,,2020-02-23T07:04:03,2020-02-23T18:25:37,0,Overcast,Cloudy skies throughout the day.,cloudy,"KATT,KAUS,72064800230,AURT2,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-02-24,69.9,50.8,63.6,69.9,50.8,63.6,48.7,62.6,0.007,100,4.17,rain,0,0,21.9,10.3,290.9,1010.5,41.5,9.7,111.9,9.6,4,,2020-02-24T07:03:02,2020-02-24T18:26:21,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KATT,KAUS,72064800230,AURT2,E0214,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-02-25,66.5,45.5,55.5,66.5,42.1,54.9,38,54.6,0,0,0,,0,0,31.1,15.1,358.9,1014.5,20.6,9.9,205.5,17.7,7,,2020-02-25T07:01:59,2020-02-25T18:27:05,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,AURT2,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-02-26,54.9,38,47,54.9,32.6,43.6,22.4,39,0,0,0,,0,0,34.9,19.6,339.8,1029.4,31.6,9.9,222.3,19.3,8,,2020-02-26T07:00:56,2020-02-26T18:27:49,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,AURT2,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-02-27,63.4,29.8,46.1,63.4,29.8,45.9,22.5,44.9,0,0,0,,0,0,19.7,9,222.1,1029.1,0,9.9,225.8,19.3,8,,2020-02-27T06:59:52,2020-02-27T18:28:32,0.14,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,AURT2,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-02-28,73.5,36.2,53.7,73.5,36.2,53.2,27.5,40.3,0,0,0,,0,0,15.2,7.1,270.5,1027.6,16.8,9.9,212.6,18.5,8,,2020-02-28T06:58:48,2020-02-28T18:29:15,0.17,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,AURT2,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-02-29,74.4,38.6,57.7,74.4,38.6,57.7,38.2,51.8,0,0,0,,0,0,31.5,15.1,178.4,1022.6,21,9.8,218.7,18.9,8,,2020-02-29T06:57:43,2020-02-29T18:29:57,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,AURT2,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-03-01,76.8,56.7,65.3,76.8,56.7,65.3,56.8,75.2,0,0,0,,0,0,29.1,16.2,186.2,1013.1,54.9,9.9,108.6,9.4,5,,2020-03-01T06:56:37,2020-03-01T18:30:39,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,AURT2,E0214,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-03-02,77.5,65.5,69.7,77.5,65.5,69.7,62.8,79.8,0,0,0,,0,0,23,12.5,191.5,1009.4,73.6,8.5,90.3,7.9,4,,2020-03-02T06:55:30,2020-03-02T18:31:21,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,AURT2,E0214,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-03-03,74.2,63.1,69.5,74.2,63.1,69.5,62.9,80.2,0,0,0,,0,0,23.5,13.2,59.5,1008.1,61,7.3,57.7,4.9,2,,2020-03-03T06:54:23,2020-03-03T18:32:03,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,AURT2,E0214,72254013904,72254413958,72054200166,D9418"
